date (float),date (string),latitude,longitude,ekman_upwelling,wind_u,wind_v,sst,wind_speed,sst_diff,sst_decrease,upwelling1day,upwelling3day
18943,2021-11-12,34.833,-123.833,2.470063e-06,0.32,-10.86,15.54,10.86471352590578,-0.26000000000000156,True,1,0
18944,2021-11-13,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,15.31,6.719014585487964,-0.22999999999999865,True,0,0
18945,2021-11-14,34.833,-123.833,-4.7566873e-06,-0.25,-7.98,15.44,7.9839150797087015,0.129999999999999,False,0,0
18946,2021-11-15,34.833,-123.833,8.738588e-07,1.34,-1.61,15.17,2.0946837470128994,-0.2699999999999996,True,0,0
18947,2021-11-16,34.833,-123.833,-3.7781551e-06,1.82,-7.25,15.2,7.474951504859413,0.02999999999999936,False,0,0
18948,2021-11-17,34.833,-123.833,1.1621984e-06,2.31,-7.02,15.43,7.390297693598005,0.23000000000000043,False,0,0
18949,2021-11-18,34.833,-123.833,-4.9343333e-07,3.29,-4.31,15.27,5.422195127436857,-0.16000000000000014,True,1,0
18950,2021-11-19,34.833,-123.833,5.6968724e-07,1.39,0.24,15.16,1.4105672617780407,-0.10999999999999943,True,0,0
18951,2021-11-20,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,14.97,6.719014585487964,-0.1899999999999995,True,0,0
18952,2021-11-21,34.833,-123.833,-2.3412576e-06,1.82,-8.27,15.01,8.467898204395231,0.03999999999999915,False,0,0
18953,2021-11-22,34.833,-123.833,-2.6731066e-06,0.28,-2.89,15.03,2.9035323314886647,0.019999999999999574,False,0,0
18954,2021-11-23,34.833,-123.833,-1.2570968e-06,0.3,-3.67,14.93,3.6822411653774116,-0.09999999999999964,True,0,0
18955,2021-11-24,34.833,-123.833,-2.0665776e-07,0.96,-8.46,14.77,8.514293863850368,-0.16000000000000014,True,1,1
18956,2021-11-25,34.833,-123.833,1.3712522e-06,1.14,-7.12,14.75,7.210686513779392,-0.019999999999999574,True,1,1
18957,2021-11-26,34.833,-123.833,-2.526137441753986e-06,0.18,-6.05,14.6,6.052677093650379,-0.15000000000000036,True,1,1
18958,2021-11-27,34.833,-123.833,-3.1615855e-06,1.01,-7.98,14.29,8.043662101306841,-0.3100000000000005,True,1,1
18959,2021-11-28,34.833,-123.833,1.6292701e-06,1.52,-4.88,14.21,5.111242510388252,-0.0799999999999983,True,1,1
18960,2021-11-29,34.833,-123.833,-2.1496905e-06,1.63,-6.64,14.33,6.837141215449627,0.11999999999999922,False,0,0
18961,2021-11-30,34.833,-123.833,-1.2478774e-06,2.41,-9.14,14.31,9.452391231852394,-0.019999999999999574,True,1,0
18962,2021-12-01,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,14.47,6.719014585487964,0.16000000000000014,False,0,0
18963,2021-12-02,34.833,-123.833,5.680154e-09,0.45,-0.18,14.34,0.48466483264210536,-0.13000000000000078,True,0,0
18964,2021-12-03,34.833,-123.833,1.0034939e-06,-0.73,-0.24,14.23,0.768439978137525,-0.10999999999999943,True,0,0
18965,2021-12-04,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.95,6.719014585487964,-0.28000000000000114,True,0,0
18967,2021-12-06,34.833,-123.833,-3.8939634e-06,5.29,-8.15,13.97,9.71630588238143,0.02000000000000135,False,0,0
18968,2021-12-07,34.833,-123.833,2.9101795e-06,2.42,-0.97,13.79,2.6071632093139088,-0.1800000000000015,True,0,0
18969,2021-12-08,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.44,6.719014585487964,-0.34999999999999964,True,0,0
18970,2021-12-09,34.833,-123.833,4.2223137e-06,3.08,-9.47,13.58,9.958277963583866,0.14000000000000057,False,0,0
18971,2021-12-10,34.833,-123.833,2.2813558e-06,3.82,-11.97,13.67,12.564764223812558,0.08999999999999986,False,0,0
18972,2021-12-11,34.833,-123.833,-5.880084e-06,2.57,-2.57,13.69,3.634528855298854,0.019999999999999574,False,0,0
18973,2021-12-12,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.67,6.719014585487964,-0.019999999999999574,True,0,0
18974,2021-12-13,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.46,6.719014585487964,-0.20999999999999908,True,0,0
18975,2021-12-14,34.833,-123.833,-2.526137441753986e-06,6.75,-7.95,13.27,10.429045977461218,-0.19000000000000128,True,1,0
18976,2021-12-15,34.833,-123.833,-6.1799215e-06,6.73,-3.73,13.18,7.694530524989813,-0.08999999999999986,True,1,0
18977,2021-12-16,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.1,6.719014585487964,-0.08000000000000007,True,0,0
18978,2021-12-17,34.833,-123.833,-4.6724667e-06,0.74,-7.85,13.1,7.884801836444591,0.0,False,0,0
18979,2021-12-18,34.833,-123.833,-2.8697552e-06,1.47,-5.36,13.13,5.557922273655867,0.030000000000001137,False,0,0
18980,2021-12-19,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.15,6.719014585487964,0.019999999999999574,False,0,0
18981,2021-12-20,34.833,-123.833,-2.526137441753986e-06,-2.32,7.3,13.13,7.6597911198674336,-0.019999999999999574,True,0,0
18982,2021-12-21,34.833,-123.833,8.64e-06,-3.56,8.18,13.18,8.921098587057537,0.049999999999998934,False,0,0
18983,2021-12-22,34.833,-123.833,3.0885994e-06,-2.86,8.07,13.25,8.561804716296676,0.07000000000000028,False,0,0
18984,2021-12-23,34.833,-123.833,-3.8385804e-07,2.89,4.56,13.47,5.398675763555355,0.22000000000000064,False,0,0
18985,2021-12-24,34.833,-123.833,2.1687363e-05,2.14,9.1,13.51,9.348240476153787,0.03999999999999915,False,0,0
18988,2021-12-27,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.32,6.719014585487964,-0.1899999999999995,True,0,0
18989,2021-12-28,34.833,-123.833,-8.6523124e-07,4.68,-0.69,13.24,4.730591929135295,-0.08000000000000007,True,0,0
18990,2021-12-29,34.833,-123.833,1.0168784e-06,4.22,-0.24,13.15,4.2268191349997455,-0.08999999999999986,True,0,0
18991,2021-12-30,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.06,6.719014585487964,-0.08999999999999986,True,0,0
18992,2021-12-31,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.97,6.719014585487964,-0.08999999999999986,True,0,0
18993,2022-01-01,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.71,6.719014585487964,-0.2599999999999998,True,0,0
18994,2022-01-02,34.833,-123.833,2.1610735e-07,-1.61,0.55,12.52,1.7013524032369074,-0.19000000000000128,True,0,0
18995,2022-01-03,34.833,-123.833,-4.512783e-06,1.73,1.28,12.48,2.152045538551636,-0.03999999999999915,True,0,0
18996,2022-01-04,34.833,-123.833,-3.2343175e-07,1.45,-0.9,12.58,1.7066048165876013,0.09999999999999964,False,0,0
18997,2022-01-05,34.833,-123.833,-2.3838604e-05,-0.014,6.719,12.25,6.719014585487964,-0.33000000000000007,True,0,0
18998,2022-01-06,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,11.84,6.719014585487964,-0.41000000000000014,True,0,0
18999,2022-01-07,34.833,-123.833,3.8022497e-06,6.27,1.88,12.29,6.545784903279361,0.4499999999999993,False,0,0
